"69","1748","mother"
"69","1808","spouseOrConcubine"
"69","2041","spouseOrConcubine"
"73","1850","father"
"76","1464","father"
"70","236","spouseOrConcubine"
"70","761","father"
"78","13","father"
"78","533","father"
"78","1231","spouseOrConcubine"
"78","1324","spouseOrConcubine"
"78","2504","father"
"81","1988","father"
"84","1870","father"
"85","558","father"
"90","2556","father"
"105","152","spouseOrConcubine"
"105","2001","spouseOrConcubine"
"105","2478","spouseOrConcubine"
"110","2539","father"
"113","120","father"
"113","359","father"
"113","1225","spouseOrConcubine"
"113","803","spouseOrConcubine"
"113","804","father"
"113","1605","spouseOrConcubine"
"113","1631","father"
"116","1147","father"
"117","980","father"
"117","2937","spouseOrConcubine"
"119","782","father"
"118","14","spouseOrConcubine"
"118","1499","spouseOrConcubine"
"118","1512","father"
"118","1852","father"
"118","2970","spouseOrConcubine"
"121","783","spouseOrConcubine"
"121","1632","father"
"121","3064","spouseOrConcubine"
"123","1580","father"
"126","20","father"
"136","589","father"
"141","1287","father"
"142","580","father"
"142","806","father"
"143","152","father"
"143","2478","spouseOrConcubine"
"144","373","father"
"145","415","spouseOrConcubine"
"145","2762","spouseOrConcubine"
"150","1170","father"
"152","105","spouseOrConcubine"
"152","994","spouseOrConcubine"
"152","641","mother"
"152","1692","mother"
"152","1784","spouseOrConcubine"
"152","1990","mother"
"152","2001","mother"
"152","2073","mother"
"152","2326","spouseOrConcubine"
"152","2478","spouseOrConcubine"
"153","232","mother"
"153","994","spouseOrConcubine"
"153","903","spouseOrConcubine"
"153","2941","spouseOrConcubine"
"159","170","father"
"162","1090","father"
"165","2975","father"
"163","126","father"
"164","2973","father"
"166","363","mother"
"166","732","spouseOrConcubine"
"167","2947","father"
"177","2444","father"
"177","2478","spouseOrConcubine"
"190","2709","father"
"192","718","father"
"192","1815","father"
"193","1971","father"
"198","164","father"
"199","165","father"
"205","3022","father"
"206","1291","father"
"209","150","father"
"212","1891","father"
"215","1723","father"
"216","1428","father"
"214","375","father"
"214","750","spouseOrConcubine"
"214","882","spouseOrConcubine"
"219","1689","father"
"221","1878","father"
"227","2906","father"
"223","1155","father"
"224","2653","father"
"225","2290","father"
"226","2819","father"
"228","1","spouseOrConcubine"
"228","1162","father"
"228","2144","father"
"230","131","father"
"236","70","spouseOrConcubine"
"236","1368","spouseOrConcubine"
"236","761","spouseOrConcubine"
"236","1730","father"
"236","3000","spouseOrConcubine"
"239","1963","father"
"240","617","father"
"242","1","father"
"242","1162","spouseOrConcubine"
"242","1645","spouseOrConcubine"
"242","1820","spouseOrConcubine"
"242","2087","father"
"242","2108","father"
"242","3095","spouseOrConcubine"
"245","1525","father"
"246","2303","father"
"247","432","spouseOrConcubine"
"247","1216","spouseOrConcubine"
"247","1761","mother"
"248","172","father"
"248","1017","father"
"252","146","father"
"252","2671","father"
"252","2818","father"
"257","1858","father"
"258","2472","spouseOrConcubine"
"261","2534","father"
"269","532","spouseOrConcubine"
"269","2939","father"
"274","425","father"
"277","623","father"
"279","2370","spouseOrConcubine"
"284","2587","father"
"285","1308","father"
"285","1566","father"
"285","1944","father"
"285","2908","father"
"290","252","father"
"312","535","father"
"319","472","father"
"318","567","spouseOrConcubine"
"318","808","father"
"318","2676","spouseOrConcubine"
"323","1697","father"
"320","2992","father"
"330","334","father"
"330","1712","father"
"330","2199","father"
"330","2965","father"
"331","3069","father"
"329","1621","father"
"335","954","spouseOrConcubine"
"335","1206","mother"
"335","682","spouseOrConcubine"
"335","1710","spouseOrConcubine"
"335","1928","mother"
"335","2386","spouseOrConcubine"
"337","478","father"
"337","640","father"
"337","648","father"
"337","1616","father"
"337","2492","father"
"342","175","father"
"342","958","father"
"342","1226","father"
"342","1332","father"
"342","1478","spouseOrConcubine"
"342","1497","father"
"342","1610","father"
"342","2124","spouseOrConcubine"
"342","2840","father"
"342","3050","father"
"344","2497","father"
"352","2814","father"
"354","1520","spouseOrConcubine"
"354","843","spouseOrConcubine"
"354","2249","mother"
"355","1514","father"
"361","886","father"
"359","121","mother"
"359","793","spouseOrConcubine"
"359","803","spouseOrConcubine"
"359","808","spouseOrConcubine"
"359","811","mother"
"359","3064","spouseOrConcubine"
"363","2155","father"
"367","2550","father"
"368","895","father"
"377","1483","father"
"378","199","father"
"379","2494","father"
"539","1657","father"
"373","1669","father"
"375","882","spouseOrConcubine"
"375","1735","father"
"375","2974","spouseOrConcubine"
"546","435","father"
"548","1560","father"
"550","2173","father"
"551","564","father"
"551","520","father"
"551","1371","father"
"551","632","father"
"551","2218","father"
"551","2565","father"
"557","1608","father"
"557","2310","father"
"559","2454","father"
"561","868","father"
"562","2499","father"
"565","1450","father"
"568","538","spouseOrConcubine"
"568","1520","spouseOrConcubine"
"567","38","spouseOrConcubine"
"567","318","spouseOrConcubine"
"567","808","mother"
"569","1395","father"
"570","670","father"
"571","2270","father"
"574","431","father"
"581","2976","father"
"583","1480","father"
"587","2513","spouseOrConcubine"
"588","2061","father"
"589","1045","father"
"594","483","father"
"389","245","father"
"390","604","father"
"394","2415","father"
"398","2921","father"
"400","1130","father"
"409","1862","father"
"412","105","father"
"412","2001","spouseOrConcubine"
"414","1144","mother"
"414","1216","spouseOrConcubine"
"414","616","spouseOrConcubine"
"414","2401","spouseOrConcubine"
"414","2859","spouseOrConcubine"
"415","145","spouseOrConcubine"
"416","989","spouseOrConcubine"
"416","994","spouseOrConcubine"
"416","903","spouseOrConcubine"
"416","2119","spouseOrConcubine"
"416","2152","mother"
"416","2547","mother"
"416","2715","mother"
"416","2762","mother"
"416","2898","spouseOrConcubine"
"416","2941","spouseOrConcubine"
"421","3018","father"
"423","17","father"
"423","184","father"
"423","262","father"
"423","1115","father"
"423","1137","father"
"423","865","father"
"423","1635","father"
"423","2244","father"
"423","3037","father"
"425","3052","father"
"426","1338","father"
"432","247","spouseOrConcubine"
"432","1216","spouseOrConcubine"
"432","1761","father"
"432","3061","spouseOrConcubine"
"433","1329","spouseOrConcubine"
"433","1555","father"
"436","34","father"
"436","52","father"
"436","80","father"
"436","168","father"
"436","294","father"
"436","1236","father"
"436","1300","father"
"436","613","father"
"436","864","father"
"436","2121","father"
"436","2919","father"
"436","2931","father"
"443","794","father"
"444","3009","father"
"450","2307","father"
"439","231","father"
"463","158","father"
"463","293","father"
"463","336","father"
"463","423","father"
"463","436","father"
"463","1038","father"
"463","1298","father"
"463","1569","father"
"463","757","father"
"463","2115","father"
"463","2120","father"
"463","2447","father"
"465","434","father"
"466","593","father"
"469","330","father"
"474","2031","father"
"475","3016","father"
"476","2815","father"
"479","2422","father"
"479","2427","father"
"479","2666","father"
"480","82","father"
"480","155","father"
"480","281","father"
"480","644","father"
"480","856","father"
"480","1664","father"
"480","2063","father"
"480","2561","father"
"480","2988","father"
"478","1469","father"
"478","1908","father"
"485","2032","father"
"487","616","spouseOrConcubine"
"487","1803","father"
"487","2401","father"
"493","2570","father"
"502","973","mother"
"502","616","spouseOrConcubine"
"502","682","spouseOrConcubine"
"502","2149","mother"
"502","2401","spouseOrConcubine"
"504","160","father"
"504","458","father"
"504","933","father"
"504","1040","father"
"504","1601","father"
"504","2847","father"
"504","3057","father"
"507","551","father"
"507","1061","father"
"507","2396","father"
"993","2250","mother"
"993","2593","mother"
"993","2821","spouseOrConcubine"
"994","26","spouseOrConcubine"
"994","54","spouseOrConcubine"
"994","59","father"
"994","97","father"
"994","152","spouseOrConcubine"
"994","153","spouseOrConcubine"
"994","232","father"
"994","416","spouseOrConcubine"
"994","939","father"
"994","989","spouseOrConcubine"
"994","1036","spouseOrConcubine"
"994","1078","father"
"994","1089","spouseOrConcubine"
"994","1143","father"
"994","1148","father"
"994","1156","father"
"994","1163","father"
"994","1353","spouseOrConcubine"
"994","1584","father"
"994","655","father"
"994","728","father"
"994","869","father"
"994","1839","spouseOrConcubine"
"994","2073","spouseOrConcubine"
"994","2119","spouseOrConcubine"
"994","2152","father"
"994","2179","father"
"994","2213","father"
"994","2478","spouseOrConcubine"
"994","2547","father"
"994","2657","father"
"994","2715","father"
"994","2762","father"
"994","2819","spouseOrConcubine"
"994","2822","father"
"997","1810","spouseOrConcubine"
"999","350","father"
"999","1818","father"
"999","1819","father"
"1000","2764","father"
"1003","2637","father"
"1005","1933","spouseOrConcubine"
"1005","2468","spouseOrConcubine"
"1009","1329","father"
"1009","1555","spouseOrConcubine"
"1010","2605","father"
"1015","288","father"
"1015","2909","father"
"1016","937","father"
"1016","1217","father"
"1016","1492","father"
"1016","653","father"
"1019","1118","father"
"1020","2373","father"
"1021","1064","father"
"1022","1071","father"
"1024","1257","spouseOrConcubine"
"1027","1259","father"
"1030","1686","father"
"1030","2308","father"
"1036","994","spouseOrConcubine"
"1036","655","mother"
"1036","903","spouseOrConcubine"
"1036","2941","spouseOrConcubine"
"1039","128","father"
"1039","134","father"
"1039","1301","father"
"1039","2123","father"
"1039","2914","father"
"1042","2816","father"
"1047","1779","father"
"1044","2685","father"
"1046","1559","father"
"1060","2756","father"
"1061","1149","father"
"1061","825","father"
"1061","2890","father"
"1069","1968","father"
"1062","990","spouseOrConcubine"
"1062","2349","father"
"1062","2377","spouseOrConcubine"
"1072","1550","father"
"1072","2350","father"
"1074","47","father"
"1074","982","father"
"1074","2177","father"
"1075","31","father"
"1075","2412","spouseOrConcubine"
"1080","2437","father"
"1087","559","father"
"1088","1690","father"
"1085","1177","spouseOrConcubine"
"1085","791","father"
"1085","2174","spouseOrConcubine"
"1089","416","father"
"1089","994","spouseOrConcubine"
"1089","2898","spouseOrConcubine"
"1095","1674","father"
"1100","1680","father"
"1123","1709","father"
"1114","2409","father"
"1126","874","father"
"1134","940","father"
"1134","1897","father"
"1134","2147","spouseOrConcubine"
"1134","2257","spouseOrConcubine"
"1134","2450","spouseOrConcubine"
"1135","180","father"
"1135","256","father"
"1135","970","father"
"1135","1093","father"
"1135","1539","father"
"1135","1668","father"
"1135","2301","father"
"1144","197","father"
"1144","1281","father"
"1144","1776","father"
"1144","1794","father"
"1144","2242","father"
"1144","2838","father"
"1144","2859","spouseOrConcubine"
"1144","3042","father"
"1152","1676","mother"
"1152","2971","spouseOrConcubine"
"1157","2198","father"
"1155","2214","father"
"1162","1","spouseOrConcubine"
"1162","33","mother"
"1162","242","spouseOrConcubine"
"1162","990","spouseOrConcubine"
"1162","1062","mother"
"1162","649","mother"
"1162","1645","spouseOrConcubine"
"1162","2128","mother"
"1164","1069","father"
"1169","209","father"
"1170","3108","father"
"1171","319","father"
"1168","1400","spouseOrConcubine"
"1168","2313","spouseOrConcubine"
"1168","2469","father"
"1175","957","father"
"1176","861","father"
"1176","1725","father"
"1177","1085","spouseOrConcubine"
"1177","2174","father"
"1182","414","father"
"1182","1216","spouseOrConcubine"
"1185","480","father"
"1185","1031","father"
"1185","1473","father"
"1185","1511","father"
"1185","637","father"
"1185","1609","father"
"1185","1644","father"
"1185","2023","father"
"1185","2093","father"
"1185","2532","father"
"1185","2616","father"
"1185","2989","father"
"1190","157","father"
"1192","2042","father"
"1191","611","father"
"1193","534","father"
"1198","538","spouseOrConcubine"
"1198","1282","mother"
"1198","1408","mother"
"1198","1520","spouseOrConcubine"
"1198","2113","mother"
"1204","2229","father"
"1205","1401","father"
"1206","424","father"
"1206","479","father"
"1206","1059","father"
"1206","1240","father"
"1206","2734","father"
"1206","2812","father"
"1207","538","spouseOrConcubine"
"1207","1520","spouseOrConcubine"
"1207","1571","mother"
"1209","2821","spouseOrConcubine"
"1211","1175","father"
"1216","247","spouseOrConcubine"
"1216","414","spouseOrConcubine"
"1216","432","spouseOrConcubine"
"1216","1144","father"
"1216","1182","spouseOrConcubine"
"1216","630","spouseOrConcubine"
"1216","662","father"
"1216","913","father"
"1216","1761","spouseOrConcubine"
"1216","1793","father"
"1216","1887","spouseOrConcubine"
"1216","2430","father"
"1216","2859","spouseOrConcubine"
"1220","486","father"
"1220","2280","father"
"1220","2834","father"
"1221","2160","father"
"1223","376","father"
"1224","1288","father"
"1224","1430","father"
"1224","885","father"
"1224","1974","father"
"1224","2233","father"
"1224","3051","father"
"1225","113","spouseOrConcubine"
"1225","1605","father"
"1228","2863","mother"
"1231","13","mother"
"1231","78","spouseOrConcubine"
"1231","533","mother"
"1231","1324","spouseOrConcubine"
"1231","2504","mother"
"1234","2125","father"
"1237","2940","spouseOrConcubine"
"1238","179","father"
"1238","503","father"
"1238","2944","father"
"1244","516","spouseOrConcubine"
"1244","1202","father"
"1244","1544","spouseOrConcubine"
"1244","715","father"
"1244","909","father"
"1244","2005","father"
"1248","1722","father"
"1248","1941","father"
"1249","955","father"
"1249","2692","father"
"1250","1529","father"
"1250","2525","father"
"1251","1544","father"
"1251","2005","spouseOrConcubine"
"1251","2133","father"
"1252","266","father"
"1252","1218","father"
"1252","1923","father"
"1253","1812","father"
"1253","1937","father"
"1253","1939","father"
"1254","1653","father"
"1254","2154","father"
"1255","1409","father"
"1255","1467","father"
"1255","2607","father"
"1256","1339","spouseOrConcubine"
"1256","2332","spouseOrConcubine"
"1256","2759","father"
"1256","2817","father"
"1257","1024","spouseOrConcubine"
"1262","296","father"
"1262","311","father"
"1262","1214","father"
"1262","1235","father"
"1262","1351","father"
"1262","2731","father"
"1262","3093","father"
"1266","1996","father"
"1274","2624","father"
"1285","2765","father"
"1291","966","father"
"1294","220","father"
"1296","2072","father"
"1298","1039","father"
"1299","2684","father"
"1302","2579","father"
"1303","1691","father"
"1305","1823","father"
"1305","2699","father"
"1314","41","father"
"1314","906","father"
"1314","1734","father"
"1315","22","father"
"1319","735","father"
"1317","348","father"
"1317","1481","father"
"1317","1496","father"
"1317","763","father"
"1317","2589","father"
"1317","2650","father"
"1318","839","father"
"1320","2853","father"
"1324","78","father"
"1324","78","spouseOrConcubine"
"1324","1231","father"
"1324","1231","spouseOrConcubine"
"1325","2688","father"
"1329","433","spouseOrConcubine"
"1329","1555","spouseOrConcubine"
"1329","1613","mother"
"1329","1827","mother"
"1329","1829","mother"
"1328","338","father"
"1328","2443","father"
"1328","2875","father"
"1331","9","father"
"1335","855","father"
"1336","1382","father"
"1336","2172","father"
"1337","772","father"
"1339","1256","spouseOrConcubine"
"1339","1297","father"
"1339","2759","spouseOrConcubine"
"1342","1946","spouseOrConcubine"
"1342","1980","spouseOrConcubine"
"1344","208","father"
"1348","58","spouseOrConcubine"
"1348","630","mother"
"1348","2841","spouseOrConcubine"
"1350","2045","father"
"1352","326","father"
"1353","97","mother"
"1353","994","spouseOrConcubine"
"1353","903","spouseOrConcubine"
"1353","2941","spouseOrConcubine"
"1354","1673","father"
"1358","2524","father"
"1359","914","father"
"1359","962","father"
"1359","2100","father"
"1359","2354","father"
"1360","77","father"
"1360","299","father"
"1360","300","father"
"1360","305","father"
"1360","347","father"
"1360","971","father"
"1360","2271","father"
"1360","2277","father"
"1360","2366","father"
"1360","2935","father"
"1360","3049","spouseOrConcubine"
"1362","1360","father"
"1362","3049","spouseOrConcubine"
"1363","845","father"
"1363","1907","father"
"1364","25","mother"
"1364","638","mother"
"1364","1884","mother"
"1365","2588","father"
"1366","2962","father"
"1368","236","spouseOrConcubine"
"1368","761","spouseOrConcubine"
"1368","1730","spouseOrConcubine"
"1368","1950","mother"
"1368","2516","mother"
"1379","816","father"
"1384","310","father"
"1384","883","father"
"1384","2216","father"
"1384","2304","father"
"1384","2423","father"
"1384","2583","father"
"1396","3032","father"
"1397","2601","father"
"1400","1168","spouseOrConcubine"
"1400","874","spouseOrConcubine"
"1400","2469","mother"
"1407","618","father"
"1407","1830","father"
"1407","2082","father"
"1407","2143","spouseOrConcubine"
"1408","1283","father"
"1413","2934","father"
"1414","2855","father"
"1417","1912","father"
"1421","690","father"
"1423","115","father"
"1424","754","father"
"1425","1930","spouseOrConcubine"
"1425","2040","father"
"1427","1541","father"
"1428","1918","father"
"1429","565","father"
"1436","398","father"
"1439","1459","father"
"1450","2623","father"
"1463","454","father"
"1464","952","father"
"1469","1562","father"
"1469","729","father"
"1469","2725","father"
"1469","2726","father"
"1470","689","spouseOrConcubine"
"1476","1796","father"
"1476","2419","father"
"1476","2614","father"
"1476","2826","father"
"1475","200","father"
"1475","698","father"
"1475","834","father"
"1475","860","father"
"1478","16","spouseOrConcubine"
"1478","342","spouseOrConcubine"
"1478","958","mother"
"1478","1226","mother"
"1478","1520","spouseOrConcubine"
"1478","1610","mother"
"1478","3050","mother"
"1483","1060","father"
"1484","1715","spouseOrConcubine"
"1484","1938","father"
"1486","1073","father"
"1490","524","father"
"1490","1102","father"
"1490","1311","father"
"1490","1380","father"
"1490","1386","father"
"1490","1564","father"
"1490","867","father"
"1490","1726","father"
"1490","1893","father"
"1490","1917","father"
"1490","1952","father"
"1490","2446","father"
"1490","2580","father"
"1490","2932","father"
"1494","417","father"
"1495","511","father"
"1496","3035","father"
"1499","14","spouseOrConcubine"
"1499","118","spouseOrConcubine"
"1499","1512","spouseOrConcubine"
"1499","1930","mother"
"1499","2040","spouseOrConcubine"
"1504","291","father"
"1504","1505","father"
"1504","1507","spouseOrConcubine"
"1504","2345","father"
"1504","2346","father"
"1505","1507","spouseOrConcubine"
"1507","983","mother"
"1507","1504","spouseOrConcubine"
"1507","1505","spouseOrConcubine"
"1507","2345","spouseOrConcubine"
"1509","2766","father"
"1512","1499","spouseOrConcubine"
"1512","1930","father"
"1512","2040","spouseOrConcubine"
"1515","2811","father"
"1520","16","spouseOrConcubine"
"1520","342","father"
"1520","354","spouseOrConcubine"
"1520","568","spouseOrConcubine"
"1520","538","father"
"1520","986","spouseOrConcubine"
"1520","1198","spouseOrConcubine"
"1520","1207","spouseOrConcubine"
"1520","1478","spouseOrConcubine"
"1520","843","father"
"1520","871","spouseOrConcubine"
"1520","1842","spouseOrConcubine"
"1520","1877","spouseOrConcubine"
"1520","2124","spouseOrConcubine"
"1520","2391","father"
"1520","2484","father"
"1522","48","father"
"1522","2483","father"
"1525","216","father"
"1529","853","father"
"1523","1084","father"
"1524","379","father"
"1524","1295","father"
"1530","10","father"
"1535","206","father"
"1541","2024","father"
"1543","1604","mother"
"1543","1643","mother"
"1543","1900","mother"
"1543","2011","mother"
"1543","2089","mother"
"1543","2512","mother"
"1543","2513","spouseOrConcubine"
"1543","3063","mother"
"1544","1219","mother"
"1544","1244","spouseOrConcubine"
"1544","1280","mother"
"1544","2005","spouseOrConcubine"
"1553","2552","father"
"1554","1526","father"
"1554","2754","father"
"1554","2833","father"
"1554","3006","father"
"1555","1009","spouseOrConcubine"
"1555","1329","spouseOrConcubine"
"1555","1613","father"
"1555","1827","father"
"1555","1829","father"
"1557","667","father"
"1562","196","father"
"1562","601","father"
"1562","2603","father"
"1562","3104","father"
"1563","769","father"
"1563","2530","father"
"1567","2515","spouseOrConcubine"
"1567","2855","spouseOrConcubine"
"1574","2426","father"
"1571","1239","father"
"1571","1412","father"
"1571","1466","father"
"1571","1590","father"
"1571","629","father"
"1571","1612","father"
"1571","2314","father"
"1571","2462","father"
"1571","2720","father"
"1571","2895","father"
"1573","2767","father"
"1575","1532","father"
"1576","30","father"
"1577","584","father"
"1581","55","mother"
"1581","1185","mother"
"1581","2513","spouseOrConcubine"
"1586","2432","father"
"1592","3045","father"
"1595","475","father"
"1591","151","father"
"1600","1378","father"
"596","609","father"
"597","2054","father"
"598","2017","father"
"600","2977","father"
"602","1798","father"
"604","2245","father"
"605","2966","father"
"607","1570","father"
"607","1843","father"
"607","1877","spouseOrConcubine"
"607","2732","father"
"611","1983","father"
"616","414","spouseOrConcubine"
"616","487","spouseOrConcubine"
"616","502","spouseOrConcubine"
"616","1216","father"
"616","682","father"
"616","1761","spouseOrConcubine"
"616","1813","spouseOrConcubine"
"616","1887","spouseOrConcubine"
"616","2386","spouseOrConcubine"
"616","2401","spouseOrConcubine"
"616","3081","spouseOrConcubine"
"617","1894","father"
"617","2566","father"
"619","1471","father"
"619","824","spouseOrConcubine"
"619","836","father"
"619","846","father"
"623","2672","father"
"624","464","father"
"624","3103","father"
"625","2162","father"
"625","2305","father"
"625","2424","father"
"625","2930","father"
"630","79","father"
"630","1025","father"
"630","1216","spouseOrConcubine"
"630","1341","father"
"630","911","father"
"630","1769","father"
"630","1770","father"
"630","1887","father"
"630","1945","father"
"630","2046","father"
"630","2094","father"
"630","2148","father"
"630","2164","father"
"630","2837","father"
"633","2994","father"
"645","1638","father"
"645","2355","father"
"645","2706","father"
"645","2878","father"
"647","1706","father"
"650","1863","father"
"654","280","father"
"654","841","father"
"654","2362","father"
"658","1795","father"
"658","2178","father"
"658","2608","father"
"658","3065","father"
"659","627","father"
"659","1652","father"
"659","2062","father"
"659","2217","father"
"664","1070","father"
"671","462","father"
"671","1587","father"
"671","2723","father"
"671","2964","father"
"674","2514","father"
"682","335","spouseOrConcubine"
"682","337","father"
"682","463","father"
"682","502","spouseOrConcubine"
"682","973","father"
"682","993","spouseOrConcubine"
"682","1012","father"
"682","1262","father"
"682","645","father"
"682","1710","father"
"682","1751","father"
"682","1803","spouseOrConcubine"
"682","1813","spouseOrConcubine"
"682","1820","father"
"682","2149","father"
"682","2386","spouseOrConcubine"
"682","2429","father"
"682","2741","father"
"682","2821","spouseOrConcubine"
"682","3002","father"
"682","3081","spouseOrConcubine"
"683","1715","father"
"683","1938","spouseOrConcubine"
"684","908","father"
"684","1695","father"
"689","1470","spouseOrConcubine"
"690","174","father"
"690","1805","father"
"691","3084","father"
"701","1199","father"
"701","1306","father"
"701","1736","father"
"701","2309","father"
"701","2407","father"
"701","2506","father"
"703","890","father"
"707","84","father"
"710","2107","father"
"712","112","father"
"724","1987","father"
"726","1328","father"
"726","744","father"
"726","1880","father"
"726","1882","father"
"726","2012","father"
"726","2864","father"
"726","2883","father"
"729","343","father"
"729","506","father"
"729","2279","father"
"730","1192","father"
"732","166","spouseOrConcubine"
"732","363","father"
"732","2672","spouseOrConcubine"
"735","1576","father"
"736","2769","father"
"744","1018","father"
"744","1154","father"
"744","1789","father"
"744","2828","father"
"746","1901","father"
"747","3028","father"
"750","214","spouseOrConcubine"
"750","375","mother"
"750","783","spouseOrConcubine"
"750","882","spouseOrConcubine"
"750","1632","spouseOrConcubine"
"751","190","father"
"757","504","father"
"761","236","spouseOrConcubine"
"761","1368","spouseOrConcubine"
"761","1730","mother"
"761","1930","spouseOrConcubine"
"761","2040","spouseOrConcubine"
"761","3000","spouseOrConcubine"
"762","1274","father"
"764","333","father"
"764","2867","father"
"764","3091","father"
"764","3092","father"
"765","540","father"
"771","1655","father"
"771","3056","father"
"777","2224","father"
"778","2586","father"
"782","185","father"
"782","556","father"
"782","3089","father"
"783","121","spouseOrConcubine"
"783","214","mother"
"783","750","spouseOrConcubine"
"783","1632","spouseOrConcubine"
"783","3064","spouseOrConcubine"
"784","1633","father"
"787","634","father"
"791","1558","father"
"791","749","father"
"791","1915","father"
"791","2170","father"
"791","2293","father"
"791","2456","father"
"791","2655","father"
"791","2942","spouseOrConcubine"
"791","3030","father"
"792","439","father"
"793","359","spouseOrConcubine"
"793","803","spouseOrConcubine"
"793","811","spouseOrConcubine"
"793","3011","father"
"797","752","father"
